geometry,state,Majority_TYPE
"POLYGON ((-77 41.5, -76.5 41.5, -76.5 42, -77 42, -77 41.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-76.5 41.5, -76 41.5, -76 42, -76.5 42, -76.5 41.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-76 41.5, -75.5 41.5, -75.5 42, -76 42, -76 41.5))",PA,NATURAL GAS INTERNAL COMBUSTION ENGINE
"POLYGON ((-75.5 41.5, -75 41.5, -75 42, -75.5 42, -75.5 41.5))",PA,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 41.5, -74.5 41.5, -74.5 42, -75 42, -75 41.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 41.5, -74 41.5, -74 42, -74.5 42, -74.5 41.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 41.5, -73.5 41.5, -73.5 42, -74 42, -74 41.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-73.5 41.5, -73 41.5, -73 42, -73.5 42, -73.5 41.5))",CT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73 41.5, -72.5 41.5, -72.5 42, -73 42, -73 41.5))",CT,SOLAR PHOTOVOLTAIC
"POLYGON ((-72.5 41.5, -72 41.5, -72 42, -72.5 42, -72.5 41.5))",CT,SOLAR PHOTOVOLTAIC
"POLYGON ((-72 41.5, -71.5 41.5, -71.5 42, -72 42, -72 41.5))",RI,SOLAR PHOTOVOLTAIC
"POLYGON ((-71.5 41.5, -71 41.5, -71 42, -71.5 42, -71.5 41.5))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-71 41.5, -70.5 41.5, -70.5 42, -71 42, -71 41.5))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-70.5 41.5, -70 41.5, -70 42, -70.5 42, -70.5 41.5))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-80.5 42, -80 42, -80 42.5, -80.5 42.5, -80.5 42))",PA,OTHER GASES
"POLYGON ((-80 42, -79.5 42, -79.5 42.5, -80 42.5, -80 42))",NY,ONSHORE WIND TURBINE
"POLYGON ((-79.5 42, -79 42, -79 42.5, -79.5 42.5, -79.5 42))",NY,ONSHORE WIND TURBINE
"POLYGON ((-79 42, -78.5 42, -78.5 42.5, -79 42.5, -79 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78.5 42, -78 42, -78 42.5, -78.5 42.5, -78.5 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78 42, -77.5 42, -77.5 42.5, -78 42.5, -78 42))",NY,ONSHORE WIND TURBINE
"POLYGON ((-77.5 42, -77 42, -77 42.5, -77.5 42.5, -77.5 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-77 42, -76.5 42, -76.5 42.5, -77 42.5, -77 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-76.5 42, -76 42, -76 42.5, -76.5 42.5, -76.5 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-76 42, -75.5 42, -75.5 42.5, -76 42.5, -76 42))",NY,NOT AVAILABLE
"POLYGON ((-75.5 42, -75 42, -75 42.5, -75.5 42.5, -75.5 42))",NY,NOT AVAILABLE
"POLYGON ((-75 42, -74.5 42, -74.5 42.5, -75 42.5, -75 42))",NY,
"POLYGON ((-74.5 42, -74 42, -74 42.5, -74.5 42.5, -74.5 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 42, -73.5 42, -73.5 42.5, -74 42.5, -74 42))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-73.5 42, -73 42, -73 42.5, -73.5 42.5, -73.5 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-73 42, -72.5 42, -72.5 42.5, -73 42.5, -73 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-72.5 42, -72 42, -72 42.5, -72.5 42.5, -72.5 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-72 42, -71.5 42, -71.5 42.5, -72 42.5, -72 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-71.5 42, -71 42, -71 42.5, -71.5 42.5, -71.5 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-71 42, -70.5 42, -70.5 42.5, -71 42.5, -71 42))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-79 42.5, -78.5 42.5, -78.5 43, -79 43, -79 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78.5 42.5, -78 42.5, -78 43, -78.5 43, -78.5 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78 42.5, -77.5 42.5, -77.5 43, -78 43, -78 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-77.5 42.5, -77 42.5, -77 43, -77.5 43, -77.5 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-77 42.5, -76.5 42.5, -76.5 43, -77 43, -77 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-76.5 42.5, -76 42.5, -76 43, -76.5 43, -76.5 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-76 42.5, -75.5 42.5, -75.5 43, -76 43, -76 42.5))",NY,ONSHORE WIND TURBINE
"POLYGON ((-75.5 42.5, -75 42.5, -75 43, -75.5 43, -75.5 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 42.5, -74.5 42.5, -74.5 43, -75 43, -75 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74.5 42.5, -74 42.5, -74 43, -74.5 43, -74.5 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 42.5, -73.5 42.5, -73.5 43, -74 43, -74 42.5))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-73.5 42.5, -73 42.5, -73 43, -73.5 43, -73.5 42.5))",VT,SOLAR PHOTOVOLTAIC
"POLYGON ((-73 42.5, -72.5 42.5, -72.5 43, -73 43, -73 42.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72.5 42.5, -72 42.5, -72 43, -72.5 43, -72.5 42.5))",NH,SOLAR PHOTOVOLTAIC
"POLYGON ((-72 42.5, -71.5 42.5, -71.5 43, -72 43, -72 42.5))",NH,SOLAR PHOTOVOLTAIC
"POLYGON ((-71.5 42.5, -71 42.5, -71 43, -71.5 43, -71.5 42.5))",NH,SOLAR PHOTOVOLTAIC
"POLYGON ((-71 42.5, -70.5 42.5, -70.5 43, -71 43, -71 42.5))",MA,SOLAR PHOTOVOLTAIC
"POLYGON ((-79 43, -78.5 43, -78.5 43.5, -79 43.5, -79 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78.5 43, -78 43, -78 43.5, -78.5 43.5, -78.5 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-78 43, -77.5 43, -77.5 43.5, -78 43.5, -78 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-77.5 43, -77 43, -77 43.5, -77.5 43.5, -77.5 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-77 43, -76.5 43, -76.5 43.5, -77 43.5, -77 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-76.5 43, -76 43, -76 43.5, -76.5 43.5, -76.5 43))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-76 43, -75.5 43, -75.5 43.5, -76 43.5, -76 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-75.5 43, -75 43, -75 43.5, -75.5 43.5, -75.5 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-75 43, -74.5 43, -74.5 43.5, -75 43.5, -75 43))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-74.5 43, -74 43, -74 43.5, -74.5 43.5, -74.5 43))",NY,SOLAR PHOTOVOLTAIC
"POLYGON ((-74 43, -73.5 43, -73.5 43.5, -74 43.5, -74 43))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73.5 43, -73 43, -73 43.5, -73.5 43.5, -73.5 43))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73 43, -72.5 43, -72.5 43.5, -73 43.5, -73 43))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72.5 43, -72 43, -72 43.5, -72.5 43.5, -72.5 43))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72 43, -71.5 43, -71.5 43.5, -72 43.5, -72 43))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71.5 43, -71 43, -71 43.5, -71.5 43.5, -71.5 43))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71 43, -70.5 43, -70.5 43.5, -71 43.5, -71 43))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-76.5 43.5, -76 43.5, -76 44, -76.5 44, -76.5 43.5))",NY,NUCLEAR
"POLYGON ((-76 43.5, -75.5 43.5, -75.5 44, -76 44, -76 43.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75.5 43.5, -75 43.5, -75 44, -75.5 44, -75.5 43.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75 43.5, -74.5 43.5, -74.5 44, -75 44, -75 43.5))",NY,ONSHORE WIND TURBINE
"POLYGON ((-74.5 43.5, -74 43.5, -74 44, -74.5 44, -74.5 43.5))",NY,PETROLEUM LIQUIDS
"POLYGON ((-74 43.5, -73.5 43.5, -73.5 44, -74 44, -74 43.5))",NY,
"POLYGON ((-73.5 43.5, -73 43.5, -73 44, -73.5 44, -73.5 43.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73 43.5, -72.5 43.5, -72.5 44, -73 44, -73 43.5))",VT,SOLAR PHOTOVOLTAIC
"POLYGON ((-72.5 43.5, -72 43.5, -72 44, -72.5 44, -72.5 43.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72 43.5, -71.5 43.5, -71.5 44, -72 44, -72 43.5))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71.5 43.5, -71 43.5, -71 44, -71.5 44, -71.5 43.5))",NH,PETROLEUM LIQUIDS
"POLYGON ((-71 43.5, -70.5 43.5, -70.5 44, -71 44, -71 43.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-70.5 43.5, -70 43.5, -70 44, -70.5 44, -70.5 43.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-70 43.5, -69.5 43.5, -69.5 44, -70 44, -70 43.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-69.5 43.5, -69 43.5, -69 44, -69.5 44, -69.5 43.5))",ME,
"POLYGON ((-76 44, -75.5 44, -75.5 44.5, -76 44.5, -76 44))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75.5 44, -75 44, -75 44.5, -75.5 44.5, -75.5 44))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75 44, -74.5 44, -74.5 44.5, -75 44.5, -75 44))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-74.5 44, -74 44, -74 44.5, -74.5 44.5, -74.5 44))",NY,
"POLYGON ((-74 44, -73.5 44, -73.5 44.5, -74 44.5, -74 44))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73.5 44, -73 44, -73 44.5, -73.5 44.5, -73.5 44))",VT,SOLAR PHOTOVOLTAIC
"POLYGON ((-73 44, -72.5 44, -72.5 44.5, -73 44.5, -73 44))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72.5 44, -72 44, -72 44.5, -72.5 44.5, -72.5 44))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72 44, -71.5 44, -71.5 44.5, -72 44.5, -72 44))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71.5 44, -71 44, -71 44.5, -71.5 44.5, -71.5 44))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71 44, -70.5 44, -70.5 44.5, -71 44.5, -71 44))",ME,ONSHORE WIND TURBINE
"POLYGON ((-70.5 44, -70 44, -70 44.5, -70.5 44.5, -70.5 44))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-70 44, -69.5 44, -69.5 44.5, -70 44.5, -70 44))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-69.5 44, -69 44, -69 44.5, -69.5 44.5, -69.5 44))",ME,PETROLEUM LIQUIDS; WOOD/WOOD WASTE BIOMASS
"POLYGON ((-69 44, -68.5 44, -68.5 44.5, -69 44.5, -69 44))",ME,ONSHORE WIND TURBINE
"POLYGON ((-68.5 44, -68 44, -68 44.5, -68.5 44.5, -68.5 44))",ME,PETROLEUM LIQUIDS
"POLYGON ((-75.5 44.5, -75 44.5, -75 45, -75.5 45, -75.5 44.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-75 44.5, -74.5 44.5, -74.5 45, -75 45, -75 44.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-74.5 44.5, -74 44.5, -74 45, -74.5 45, -74.5 44.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-74 44.5, -73.5 44.5, -73.5 45, -74 45, -74 44.5))",NY,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73.5 44.5, -73 44.5, -73 45, -73.5 45, -73.5 44.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-73 44.5, -72.5 44.5, -72.5 45, -73 45, -73 44.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-72.5 44.5, -72 44.5, -72 45, -72.5 45, -72.5 44.5))",VT,SOLAR PHOTOVOLTAIC
"POLYGON ((-72 44.5, -71.5 44.5, -71.5 45, -72 45, -72 44.5))",VT,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71.5 44.5, -71 44.5, -71 45, -71.5 45, -71.5 44.5))",NH,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-71 44.5, -70.5 44.5, -70.5 45, -71 45, -71 44.5))",ME,ONSHORE WIND TURBINE
"POLYGON ((-70.5 44.5, -70 44.5, -70 45, -70.5 45, -70.5 44.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-70 44.5, -69.5 44.5, -69.5 45, -70 45, -70 44.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-69.5 44.5, -69 44.5, -69 45, -69.5 45, -69.5 44.5))",ME,SOLAR PHOTOVOLTAIC
"POLYGON ((-69 44.5, -68.5 44.5, -68.5 45, -69 45, -69 44.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-68.5 44.5, -68 44.5, -68 45, -68.5 45, -68.5 44.5))",ME,ONSHORE WIND TURBINE
"POLYGON ((-68 44.5, -67.5 44.5, -67.5 45, -68 45, -68 44.5))",ME,WOOD/WOOD WASTE BIOMASS
"POLYGON ((-67.5 44.5, -67 44.5, -67 45, -67.5 45, -67.5 44.5))",ME,PETROLEUM LIQUIDS
"POLYGON ((-71.5 45, -71 45, -71 45.5, -71.5 45.5, -71.5 45))",NH,
"POLYGON ((-71 45, -70.5 45, -70.5 45.5, -71 45.5, -71 45))",ME,ONSHORE WIND TURBINE
"POLYGON ((-70.5 45, -70 45, -70 45.5, -70.5 45.5, -70.5 45))",ME,WOOD/WOOD WASTE BIOMASS
"POLYGON ((-70 45, -69.5 45, -69.5 45.5, -70 45.5, -70 45))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-69.5 45, -69 45, -69 45.5, -69.5 45.5, -69.5 45))",ME,
"POLYGON ((-69 45, -68.5 45, -68.5 45.5, -69 45.5, -69 45))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-68.5 45, -68 45, -68 45.5, -68.5 45.5, -68.5 45))",ME,ONSHORE WIND TURBINE
"POLYGON ((-68 45, -67.5 45, -67.5 45.5, -68 45.5, -68 45))",ME,ONSHORE WIND TURBINE
"POLYGON ((-70.5 45.5, -70 45.5, -70 46, -70.5 46, -70.5 45.5))",ME,
"POLYGON ((-70 45.5, -69.5 45.5, -69.5 46, -70 46, -70 45.5))",ME,CONVENTIONAL HYDROELECTRIC
"POLYGON ((-69.5 45.5, -69 45.5, -69 46, -69.5 46, -69.5 45.5))",ME,
"POLYGON ((-69 45.5, -68.5 45.5, -68.5 46, -69 46, -69 45.5))",ME,PETROLEUM LIQUIDS
"POLYGON ((-68.5 45.5, -68 45.5, -68 46, -68.5 46, -68.5 45.5))",ME,NOT AVAILABLE
"POLYGON ((-70 46, -69.5 46, -69.5 46.5, -70 46.5, -70 46))",ME,
"POLYGON ((-69.5 46, -69 46, -69 46.5, -69.5 46.5, -69.5 46))",ME,
"POLYGON ((-69 46, -68.5 46, -68.5 46.5, -69 46.5, -69 46))",ME,
"POLYGON ((-68.5 46, -68 46, -68 46.5, -68.5 46.5, -68.5 46))",ME,ONSHORE WIND TURBINE
"POLYGON ((-70 46.5, -69.5 46.5, -69.5 47, -70 47, -70 46.5))",ME,
"POLYGON ((-69.5 46.5, -69 46.5, -69 47, -69.5 47, -69.5 46.5))",ME,
"POLYGON ((-69 46.5, -68.5 46.5, -68.5 47, -69 47, -69 46.5))",ME,
"POLYGON ((-68.5 46.5, -68 46.5, -68 47, -68.5 47, -68.5 46.5))",ME,CONVENTIONAL HYDROELECTRIC; PETROLEUM LIQUIDS
